trap	L
1.00	209.36
2.00	357.00
3.00	807.03
4.00	137.15
5.00	108.21
6.00	327.12
7.00	203.03
8.00	444.58
9.00	219.76
10.00	165.46
11.00	372.26
12.00	180.36
13.00	151.19
14.00	214.95
15.00	205.72
16.00	227.96
17.00	229.49
18.00	5.68
19.00	218.73
20.00	38.02
21.00	217.39
22.00	702.03
23.00	53.99
24.00	166.73
25.00	226.29
26.00	522.43
27.00	157.97
28.00	980.87
29.00	272.42
30.00	1799.48
31.00	122.53
32.00	419.71
33.00	1602.72
34.00	729.24
35.00	1489.09
36.00	49.10
37.00	366.42
38.00	153.78
39.00	903.14
40.00	89.02
41.00	238.73
42.00	207.55
43.00	213.60
44.00	1107.46
45.00	223.99
46.00	262.56
47.00	198.31
48.00	229.67
49.00	267.12
50.00	89.84
51.00	678.16
52.00	26.92
53.00	158.64
54.00	454.84
55.00	405.60
56.00	540.62
57.00	1015.19
58.00	156.74
59.00	141.10
60.00	30.31
61.00	309.94
62.00	650.94
63.00	280.23
64.00	380.28
65.00	545.97
66.00	212.48
67.00	190.66
68.00	242.71
69.00	789.52
70.00	648.89
71.00	81.52
72.00	803.51
73.00	433.45
74.00	43.40
75.00	1507.32
76.00	213.32
77.00	482.45
78.00	198.49
79.00	231.65
80.00	317.17
81.00	246.08
82.00	395.41
83.00	37.01
84.00	393.25
85.00	267.73
86.00	550.66
87.00	23.15
88.00	98.73
89.00	94.82
90.00	206.73
91.00	416.44
92.00	322.89
93.00	146.68
94.00	176.33
95.00	208.46
96.00	336.90
97.00	1018.50
98.00	108.42
99.00	213.55
100.00	800.44
101.00	875.80
102.00	525.37
103.00	857.77
104.00	606.08
105.00	978.61
106.00	13.40
107.00	148.17
108.00	58.66
109.00	238.55
110.00	470.94
111.00	171.41
112.00	423.91
113.00	335.30
114.00	387.40
115.00	190.86
116.00	121.08
117.00	478.31
118.00	210.43
119.00	92.49
120.00	227.29
121.00	214.03
122.00	1965.62
123.00	296.90
124.00	30.37
125.00	236.12
126.00	218.21
127.00	350.14
128.00	453.66
129.00	436.78
130.00	53.45
131.00	581.81
132.00	322.57
133.00	817.58
134.00	69.62
135.00	1668.87
136.00	233.91
137.00	42.28
138.00	323.64
139.00	0.77
140.00	1157.42
141.00	1322.79
142.00	438.00
143.00	354.08
144.00	1625.09
145.00	650.07
146.00	14.37
147.00	529.12
148.00	1699.20
149.00	249.20
150.00	1235.12
151.00	511.66
152.00	631.15
153.00	253.95
154.00	478.90
155.00	315.75
156.00	156.28
157.00	239.12
158.00	209.58
159.00	422.29
160.00	455.71
161.00	529.91
162.00	361.89
163.00	371.74
164.00	380.41
165.00	192.08
166.00	305.29
167.00	169.05
168.00	743.23
169.00	394.31
170.00	1500.47
171.00	1862.71
172.00	0.27
173.00	355.75
174.00	339.63
175.00	236.39
176.00	137.01
177.00	2954.02
178.00	668.64
179.00	438.00
180.00	932.95
181.00	742.89
