# Session	animalID	occasion	trapID	sex
1	LU11	1	177	m
1	LU06	1	177	m
1	LU08	1	177	m
1	LU08	1	177	m
1	LU07	1	177	f
1	LU06	1	177	m
1	LU08	1	177	m
1	LU07	1	3	f
1	LU06	1	178	m
1	LU06	1	35	m
1	LU06	1	35	m
1	LU01	1	68	m
1	LU04	1	57	m
1	LU01	1	57	m
1	LU02	1	57	f
1	LU04	1	57	m
1	LU01	1	69	m
1	LU01	1	69	m
1	LU01	1	69	m
1	LU01	1	69	m
1	LU01	1	69	m
1	LU02	1	69	f
1	LU02	1	181	f
1	LU04	1	97	m
1	LU02	1	101	f
1	LU02	1	102	f
1	LU12	1	96	f
1	LU06	1	97	m
1	LU02	1	103	f
1	LU13	1	100	f
1	LU03	1	117	m
1	LU02	1	122	f
1	LU02	1	122	f
1	LU02	1	135	f
1	LU02	1	135	f
1	LU01	1	135	m
1	LU02	1	135	f
1	LU04	1	135	m
1	LU02	1	135	f
1	LU01	1	135	m
1	LU01	1	144	m
1	LU01	1	143	m
1	LU13	1	143	f
1	LU02	1	144	f
1	LU09	1	144	m
1	LU02	1	144	f
1	LU02	1	144	f
1	LU04	1	179	m
1	LU02	1	141	f
1	LU02	1	148	f
1	LU01	1	148	m
1	LU01	1	148	m
1	LU02	1	148	f
1	LU04	1	142	m
1	LU02	1	148	f
1	LU01	1	150	m
1	LU10	1	150	m
1	LU02	1	150	f
1	LU02	1	150	f
1	LU01	1	150	m
1	LU02	1	180	f
1	LU01	1	169	m
1	LU01	1	168	m
1	LU02	1	170	f
1	LU05	1	171	f
1	LU04	1	171	m
1	LU03	1	171	m
1	LU03	1	171	m
1	LU01	1	171	m
1	LU05	1	171	f
1	LU04	1	171	m
