# Session	animalID	occasion	trapID
1	1	1	30
1	2	1	3
1	4	1	69
1	5	1	131
1	6	1	171
1	7	1	135
1	8	1	69
1	9	1	177
1	10	1	123
1	12	1	143
1	13	1	57
1	14	1	144
1	15	1	177
1	16	1	101
1	17	1	135
1	18	1	181
1	19	1	100
1	20	1	177
1	21	1	148
1	22	1	144
1	23	1	143
1	24	1	150
1	25	1	177
1	26	1	177
1	27	1	57
1	28	1	171
1	29	1	171
1	30	1	30
1	31	1	57
1	32	1	105
1	33	1	30
1	34	1	97
1	35	1	97
1	36	1	97
1	37	1	69
1	38	1	122
1	39	1	122
1	40	1	148
1	41	1	148
1	42	1	168
1	43	1	162
1	44	1	177
1	45	1	143
1	46	1	177
1	47	1	69
1	48	1	97
1	49	1	97
